"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Tolerance Sensitivity"
"12/17/2025 13:30:16:443 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"1","10","10","25","10","Religion","Muslim","Urdu","31","31","4405","4230","88","80","2107","475","737","95.0399279154411","569","61","58","165.60663882685805"
"1","10","10","25","10","Religion","Muslim","Urdu","32","32","4468","4288","88","85","2123","485","748","95.02222684558045","570","63","57","168.361587611327"
"1","10","10","25","10","Religion","Muslim","Urdu","33","33","4525","4339","89","90","2147","493","756","95.0635183732067","580","65","64","169.81462403440906"
"2","10","30","25","10","Religion","Muslim","Urdu","10","10","3198","3076","35","85","1484","383","531","92.64316318855931","440","5","8","88.38967866282606"
"1","10","10","25","10","Religion","Muslim","Urdu","34","34","4597","4405","92","92","2172","509","768","95.01828841232036","585","67","67","172.89307776735677"
"1","10","10","25","10","Religion","Muslim","Urdu","35","35","4661","4469","93","91","2205","505","785","95.06687846426574","591","68","72","174.06832292451043"
"2","10","30","25","10","Religion","Muslim","Urdu","11","11","3220","3099","35","84","1495","390","535","92.69259685134055","449","5","11","92.10224497487434"
"1","10","10","25","10","Religion","Muslim","Urdu","36","36","4756","4561","94","93","2249","516","799","95.01722655372504","597","68","69","176.4291133179096"
"1","10","10","25","10","Religion","Muslim","Urdu","37","37","4814","4619","93","93","2276","526","810","95.06931579114745","609","69","71","180.26534545286796"
"2","10","30","25","10","Religion","Muslim","Urdu","12","12","3275","3149","35","89","1519","401","549","92.65649686065552","448","6","7","92.16155182063142"
"1","10","10","25","10","Religion","Muslim","Urdu","38","38","4877","4681","94","93","2310","531","821","95.10887297379294","621","68","70","182.91503081139075"
"1","10","10","25","10","Religion","Muslim","Urdu","39","39","4959","4758","97","95","2345","541","835","95.17855546530367","630","71","70","185.22433845355087"
"2","10","30","25","10","Religion","Muslim","Urdu","13","13","3312","3185","36","89","1532","408","553","92.55446392554633","465","4","11","93.54110277571424"
"1","10","10","25","10","Religion","Muslim","Urdu","40","40","5051","4848","99","95","2385","557","851","95.22458718951562","641","74","75","187.49094095762726"
"1","10","10","25","10","Religion","Muslim","Urdu","41","41","5128","4919","102","97","2416","561","865","95.11904444566612","650","75","71","192.20275412389506"
"2","10","30","25","10","Religion","Muslim","Urdu","14","14","3374","3245","37","90","1560","419","567","92.5806880567976","464","4","10","94.26620628336977"
