"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Demographic Rates"
"12/17/2025 13:32:20:219 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"1","5","5","20","8","Religion","Muslim","Urdu","19","19","3628","3490","29","99","1784","381","637","93.3510292464861","454","12","26","143.20455911609096"
"2","5","15","20","8","Religion","Muslim","Urdu","22","22","3681","3543","29","102","1847","394","566","93.30057499282289","538","8","26","140.5864002943116"
"2","5","15","20","8","Religion","Muslim","Urdu","23","23","3733","3592","30","104","1868","397","570","93.30283599363636","544","7","26","142.55081653262337"
"1","5","5","20","8","Religion","Muslim","Urdu","20","20","3692","3550","29","103","1815","384","655","93.35530293816652","460","12","26","144.58834963327163"
"2","5","15","20","8","Religion","Muslim","Urdu","24","24","3772","3629","30","106","1891","399","574","93.28914424268876","552","11","27","144.73510850511335"
"1","5","5","20","8","Religion","Muslim","Urdu","21","21","3747","3606","27","104","1846","388","667","93.43169824951815","473","12","27","147.1877108396697"
"1","5","5","20","8","Religion","Muslim","Urdu","22","22","3790","3649","27","104","1867","394","678","93.55336249705401","483","11","28","149.9420476286049"
"2","5","15","20","8","Religion","Muslim","Urdu","25","25","3803","3660","31","105","1912","402","571","93.20602978949974","558","11","27","146.0669557276921"
"1","5","5","20","8","Religion","Muslim","Urdu","23","23","3840","3694","28","108","1889","397","687","93.47697389116185","486","11","27","151.47363281412544"
"2","5","15","20","8","Religion","Muslim","Urdu","26","26","3836","3692","31","106","1936","402","580","93.32843133739404","481","12","28","136.2540039586773"
"1","5","5","20","8","Religion","Muslim","Urdu","24","24","3873","3728","28","107","1906","405","693","93.48223712809958","490","11","28","152.37299436502752"
"2","5","15","20","8","Religion","Muslim","Urdu","27","27","3873","3725","32","109","1948","403","591","93.24143478474777","492","12","28","140.18680347764925"
"1","5","5","20","8","Religion","Muslim","Urdu","25","25","3939","3791","28","110","1937","407","710","93.49877262482012","498","11","28","154.25809159823487"
"2","5","15","20","8","Religion","Muslim","Urdu","28","28","3927","3776","33","110","1981","409","596","93.1929511423629","495","13","28","141.99761804133112"
"1","5","5","20","8","Religion","Muslim","Urdu","26","26","3994","3846","28","110","1959","413","727","93.55949985872864","498","12","29","156.6593344133171"
"2","5","15","20","8","Religion","Muslim","Urdu","29","29","3968","3816","33","111","1994","415","603","93.22629811431891","503","15","29","143.3314751361538"
"1","5","5","20","8","Religion","Muslim","Urdu","27","27","4047","3896","29","112","1982","419","740","93.58862118127593","509","13","29","159.59245481534185"
"2","5","15","20","8","Religion","Muslim","Urdu","30","30","4012","3860","33","111","2009","425","610","93.27077875069557","506","15","31","144.5606822399272"
"1","5","5","20","8","Religion","Muslim","Urdu","28","28","4087","3936","29","112","1994","422","749","93.58323350648621","516","13","31","161.95360628351344"
"2","5","15","20","8","Religion","Muslim","Urdu","31","31","4036","3882","34","112","2018","431","619","93.3525250646955","513","17","30","145.82418458697967"
"1","5","5","20","8","Religion","Muslim","Urdu","29","29","4137","3985","30","112","2021","427","756","93.56272795132618","523","11","31","163.76362887952519"
"1","5","5","20","8","Religion","Muslim","Urdu","30","30","4198","4043","30","115","2051","437","765","93.67855988947579","525","13","31","164.39559533243548"
"2","5","15","20","8","Religion","Muslim","Urdu","32","32","4071","3919","34","110","2033","434","627","93.37315544678056","520","16","30","147.56556092544707"
"1","5","5","20","8","Religion","Muslim","Urdu","31","31","4251","4096","30","115","2074","442","774","93.71498543865535","532","13","34","167.498746459069"
"2","5","15","20","8","Religion","Muslim","Urdu","33","33","4126","3970","37","112","2062","436","635","93.36676034155059","525","17","30","149.00069087877728"
"1","5","5","20","8","Religion","Muslim","Urdu","32","32","4300","4146","30","114","2097","445","787","93.88739547361448","542","14","33","170.11873016496796"
"2","5","15","20","8","Religion","Muslim","Urdu","34","34","4173","4016","37","114","2085","443","640","93.4169196775815","525","18","31","150.5474541389273"
"1","5","5","20","8","Religion","Muslim","Urdu","33","33","4355","4200","30","115","2130","451","793","93.91906232939989","542","13","32","172.13807347553671"
"2","5","15","20","8","Religion","Muslim","Urdu","35","35","4222","4062","37","117","2102","442","651","93.47540502120816","534","20","32","153.05371990406044"
"1","5","5","20","8","Religion","Muslim","Urdu","34","34","4392","4236","30","116","2149","463","796","93.95935945878684","549","13","32","174.26432668666172"
"2","5","15","20","8","Religion","Muslim","Urdu","36","36","4268","4105","37","119","2114","450","658","93.38003259664407","543","23","32","157.15979961293883"
"1","5","5","20","8","Religion","Muslim","Urdu","35","35","4467","4310","31","115","2183","474","809","93.97029965469122","550","13","34","176.817286884446"
"2","5","15","20","8","Religion","Muslim","Urdu","37","37","4301","4138","36","120","2133","452","659","93.36876702859074","547","20","32","159.01383176570036"
"1","5","5","20","8","Religion","Muslim","Urdu","36","36","4527","4368","31","117","2210","481","813","94.01311250262926","564","13","33","179.304620851844"
"2","5","15","20","8","Religion","Muslim","Urdu","38","38","4350","4185","36","122","2158","461","663","93.4803352493768","552","25","33","159.71094191482393"
"1","5","5","20","8","Religion","Muslim","Urdu","37","37","4592","4432","32","117","2239","488","829","94.08160350606808","570","13","36","181.24641984293746"
"2","5","15","20","8","Religion","Muslim","Urdu","39","39","4403","4237","36","122","2191","464","668","93.51451810510436","555","23","33","161.3560184991014"
